Isotope	A	Z	N	Rate [pps]	Energy [MeV/u]	Purity [%]	Designation	Type		Comments
28Mg	28	12	16	5.00E+02	6	5	Expected	-2p	5	
28Mg	28	12	16	1.00E+03	10	10	Expected	-2p	5	
28Mg	28	12	16	2.00E+03	14	10	Expected	-2p	5	
24Al	24	13	11	0.00E+00	6	0	None	pn	7	
24Al	24	13	11	0.00E+00	10	0	None	pn	7	
24Al	24	13	11	0.00E+00	14	0	None	pn	7	
25Al	25	13	12	5.00E+04	6	10	Available	+p	2	
25Al	25	13	12	1.00E+05	10	20	Available	+p	2	
25Al	25	13	12	5.00E+04	14	20	Available	+p	2	
26Alm/g	26	13	13	5.00E+04	6	10	Available	+p	2	
26Alm/g	26	13	13	1.00E+05	10	20	Available	+p	2	
26Alm/g	26	13	13	5.00E+04	14	20	Available	+p	2	
28Al	28	13	15	1.00E+05	6	10	Available	+n	1	
28Al	28	13	15	1.00E+05	10	20	Available	+n	1	
28Al	28	13	15	5.00E+04	14	20	Available	+n	1	
29Al	29	13	16	5.00E+03	6	10	Expected	-p	3	
29Al	29	13	16	2.00E+04	10	20	Available	-p	3	
29Al	29	13	16	5.00E+04	14	20	Available	-p	3	
26Si	26	14	12	8.00E+02	6	20	Available	+2p		
26Si	26	14	12	8.00E+02	10	20	Available	+2p		
26Si	26	14	12	0.00E+00	14	0	None	+2p		
27Si	27	14	13	1.00E+03	6	5	Expected	-n	7	will be better with p,n
27Si	27	14	13	5.00E+03	10	10	Expected	-n	7	
27Si	27	14	13	1.00E+04	14	10	Expected	-n	7	
31Si	31	14	17	5.00E+04	6	5	Available	+n	1	
31Si	31	14	17	5.00E+04	10	5	Available	+n	1	
31Si	31	14	17	2.00E+04	14	10	Available	+n	1	
32Si	32	14	18	2.50E+02	6	5	Expected	-2p	5	
32Si	32	14	18	5.00E+02	10	10	Expected	-2p	5	
32Si	32	14	18	1.00E+03	14	10	Expected	-2p	5	
34Si	34	14	20	2.50E+02	6	5	Expected	-2p	5	
34Si	34	14	20	5.00E+02	10	10	Expected	-2p	5	
34Si	34	14	20	1.00E+03	14	10	Expected	-2p	5	
28P	28	15	13	0.00E+00	6	0	None	pn	7	
28P	28	15	13	0.00E+00	10	0	None	pn	7	
28P	28	15	13	0.00E+00	14	0	None	pn	7	
29P	29	15	14	5.00E+04	6	5	Available	+p	2	
29P	29	15	14	1.00E+05	10	10	Available	+p	2	
29P	29	15	14	5.00E+04	14	10	Available	+p	2	
30P	30	15	15	5.00E+04	6	5	Available	+p	2	
30P	30	15	15	1.00E+05	10	10	Available	+p	2	
30P	30	15	15	5.00E+04	14	10	Available	+p	2	
32P	32	15	17	5.00E+04	6	5	Available	+n	1	
32P	32	15	17	5.00E+04	10	5	Available	+n	1	
32P	32	15	17	2.00E+04	14	10	Available	+n	1	
33P	33	15	18	5.00E+03	6	10	Expected	-p	3	
33P	33	15	18	2.00E+04	10	20	Available	-p	3	
33P	33	15	18	5.00E+04	14	20	Available	-p	3	
34P	34	15	19	5.00E+03	6	10	Expected	-p	3	
34P	34	15	19	2.00E+04	10	20	Available	-p	3	
34P	34	15	19	5.00E+04	14	20	Available	-p	3	
35P	35	15	20	5.00E+03	6	10	Expected	-p	3	
35P	35	15	20	2.00E+04	10	20	Available	-p	3	
35P	35	15	20	5.00E+04	14	20	Available	-p	3	
30S	30	16	14	6.00E+02	6	20	Available	+2p		
30S	30	16	14	6.00E+02	10	20	Available	+2p		
30S	30	16	14	0.00E+00	14	0	None	+2p		
31S	31	16	15	1.00E+03	6	5	Expected	-n	7	will be better with p,n
31S	31	16	15	5.00E+03	10	10	Expected	-n	7	
31S	31	16	15	1.00E+04	14	10	Expected	-n	7	
35S	35	16	19	2.00E+04	6	5	Available	+n	1	
35S	35	16	19	2.00E+04	10	5	Available	+n	1	
35S	35	16	19	1.00E+04	14	5	Available	+n	1	
37S	37	16	21	2.00E+04	6	5	Available	+n	1	
37S	37	16	21	2.00E+04	10	5	Available	+n	1	
37S	37	16	21	1.00E+04	14	5	Available	+n	1	
38S	38	16	22	2.50E+02	6	5	Expected	-2p	5	
38S	38	16	22	5.00E+02	10	10	Expected	-2p	5	
38S	38	16	22	1.00E+03	14	10	Expected	-2p	5	
32Cl	32	17	15	0.00E+00	6	0	None	pn	7	
32Cl	32	17	15	0.00E+00	10	0	None	pn	7	
32Cl	32	17	15	0.00E+00	14	0	None	pn	7	
33Cl	33	17	16	1.00E+04	6	2	Available	+p	2	
33Cl	33	17	16	2.00E+04	10	4	Available	+p	2	
33Cl	33	17	16	1.00E+04	14	4	Expected	+p	2	
34Clm/g	34	17	17	1.00E+04	6	2	Available	+p	2	
34Clm/g	34	17	17	2.00E+04	10	4	Available	+p	2	
34Clm/g	34	17	17	2.00E+04	14	4	Expected	+p	2	
36Cl	36	17	19	1.00E+04	6	5	Expected	+n	1	
36Cl	36	17	19	1.00E+04	10	5	Expected	+n	1	
36Cl	36	17	19	1.00E+04	14	5	Expected	+n	1	
38Clm/g	38	17	21	1.00E+04	6	5	Expected	+n	1	
38Clm/g	38	17	21	1.00E+04	10	5	Expected	+n	1	
38Clm/g	38	17	21	1.00E+04	14	5	Expected	+n	1	
39Cl	39	17	22	5.00E+03	6	10	Expected	-p	3	
39Cl	39	17	22	1.00E+04	10	20	Expected	-p	3	
39Cl	39	17	22	2.00E+04	14	20	Available	-p	3	
34Ar	34	18	16	4.00E+02	6	10	Available	+2p		
34Ar	34	18	16	4.00E+02	10	10	Available	+2p		
34Ar	34	18	16	0.00E+00	14	0	None	+2p		
35Ar	35	18	17	5.00E+02	6	5	Expected	-n	4	
35Ar	35	18	17	2.00E+03	10	10	Expected	-n	4	
35Ar	35	18	17	5.00E+03	14	10	Expected	-n	4	
37Ar	37	18	19	1.00E+04	6	5	Expected	+n	1	
37Ar	37	18	19	1.00E+04	10	5	Expected	+n	1	
37Ar	37	18	19	1.00E+04	14	5	Expected	+n	1	
39Ar	39	18	21	1.00E+04	6	5	Expected	+n	1	
39Ar	39	18	21	1.00E+04	10	5	Expected	+n	1	
39Ar	39	18	21	1.00E+04	14	5	Expected	+n	1	
41Ar	41	18	23	1.00E+04	6	5	Expected	+n	1	
41Ar	41	18	23	1.00E+04	10	5	Expected	+n	1	
41Ar	41	18	23	1.00E+04	14	5	Expected	+n	1	
42Ar	42	18	24	0.00E+00	6	0	None	-2p	1	
42Ar	42	18	24	0.00E+00	10	0	None	-2p	1	
42Ar	42	18	24	0.00E+00	14	0	None	-2p	1	
43Ar	43	18	25	0.00E+00	6	0	None	-2p	1	
43Ar	43	18	25	0.00E+00	10	0	None	-2p	1	
43Ar	43	18	25	0.00E+00	14	0	None	-2p	1	
44Ar	44	18	26	0.00E+00	6	0	None	-2p	1	
44Ar	44	18	26	0.00E+00	10	0	None	-2p	1	
44Ar	44	18	26	0.00E+00	14	0	None	-2p	1	
45Ar	45	18	27	0.00E+00	6	0	None	-2p	1	
45Ar	45	18	27	0.00E+00	10	0	None	-2p	1	
45Ar	45	18	27	0.00E+00	14	0	None	-2p	1	
46Ar	46	18	28	0.00E+00	6	0	None	-2p	1	
46Ar	46	18	28	0.00E+00	10	0	None	-2p	1	
46Ar	46	18	28	0.00E+00	14	0	None	-2p	1	
36K	36	19	17	0.00E+00	6	0	None	pn	7	
36K	36	19	17	0.00E+00	10	0	None	pn	7	
36K	36	19	17	0.00E+00	14	0	None	pn	7	
37K	37	19	18	2.00E+04	6	5	Available	+p	2	
37K	37	19	18	4.00E+04	10	5	Available	+p	2	
37K	37	19	18	4.00E+04	14	5	Available	+p	2	
38Km/g	38	19	19	5.00E+02	6	5	Expected	-n	7	
38Km/g	38	19	19	2.00E+03	10	10	Expected	-n	7	
38Km/g	38	19	19	5.00E+03	14	10	Expected	-n	7	
42K	42	19	23	5.00E+03	6	10	Expected	-p	3	
42K	42	19	23	1.00E+04	10	20	Expected	-p	3	
42K	42	19	23	2.00E+04	14	20	Available	-p	3	
43Km/g	43	19	24	5.00E+03	6	10	Expected	-p	3	
43Km/g	43	19	24	1.00E+04	10	20	Expected	-p	3	
43Km/g	43	19	24	2.00E+04	14	20	Available	-p	3	
44K	44	19	25	0.00E+00	6	0	None	pn	7	
44K	44	19	25	0.00E+00	10	0	None	pn	7	
44K	44	19	25	0.00E+00	14	0	None	pn	7	
45K	45	19	26	5.00E+03	6	10	Expected	-p	3	
45K	45	19	26	1.00E+04	10	20	Expected	-p	3	
45K	45	19	26	2.00E+04	14	20	Available	-p	3	
46K	46	19	27	0.00E+00	6	0	None	pn	7	
46K	46	19	27	0.00E+00	10	0	None	pn	7	
46K	46	19	27	0.00E+00	14	0	None	pn	7	
47K	47	19	28	5.00E+03	6	10	Expected	-p	3	
47K	47	19	28	1.00E+04	10	20	Expected	-p	3	
47K	47	19	28	2.00E+04	14	20	Available	-p	3	
38Ca	38	20	18	2.00E+02	6	5	Available	+2p		
38Ca	38	20	18	2.00E+02	10	5	Available	+2p		
38Ca	38	20	18	0.00E+00	14	0	None	+2p		
39Ca	39	20	19	0.00E+00	6	0	None	-n	4	
39Ca	39	20	19	0.00E+00	10	0	None	-n	4	
39Ca	39	20	19	0.00E+00	14	0	None	-n	4	
41Ca	41	20	21	0.00E+00	6	0	None	+n	1	
41Ca	41	20	21	0.00E+00	10	0	None	+n	1	
41Ca	41	20	21	0.00E+00	14	0	None	+n	1	
45Ca	45	20	25	0.00E+00	6	0	None	+n	1	
45Ca	45	20	25	0.00E+00	10	0	None	+n	1	
45Ca	45	20	25	0.00E+00	14	0	None	+n	1	
47Ca	47	20	27	0.00E+00	6	0	None	+n	1	
47Ca	47	20	27	0.00E+00	10	0	None	+n	1	
47Ca	47	20	27	0.00E+00	14	0	None	+n	1	
49Ca	49	20	29	0.00E+00	6	0	None	+n	1	
49Ca	49	20	29	0.00E+00	10	0	None	+n	1	
49Ca	49	20	29	0.00E+00	14	0	None	+n	1	
50Ca	50	20	30	0.00E+00	6	0	None	+2n	8	
50Ca	50	20	30	0.00E+00	10	0	None	+2n	8	
50Ca	50	20	30	0.00E+00	14	0	None	+2n	8	
41Sc	41	21	20	5.00E+03	6	5	Expected	+p	1	
41Sc	41	21	20	5.00E+03	10	5	Expected	+p	1	
41Sc	41	21	20	5.00E+03	14	5	Expected	+p	1	
43Scm/g	43	21	22	5.00E+03	6	5	Expected	+p	1	
43Scm/g	43	21	22	5.00E+03	10	5	Expected	+p	1	
43Scm/g	43	21	22	5.00E+03	14	5	Expected	+p	1	
42Ti	42	22	20	1.50E+02	6	5	Available	+2p	1	
42Ti	42	22	20	1.50E+02	10	5	Available	+2p	1	
42Ti	42	22	20	0.00E+00	14	0	None	+2p	1	
44Ti	44	22	22	1.50E+02	6	5	Available	+2p	1	
44Ti	44	22	22	1.50E+02	10	5	Available	+2p	1	
44Ti	44	22	22	0.00E+00	14	0	None	+2p	1	
